id,name,price,pages,author_id,publisher_id,content,img,category_id,dayopt,language,description,priority,bookActive,isbn,ratedusers,rating,publishdate,author,publisher,cat,catmodel,taglink_id,tag_id_x,tag_id_y,tag
30,Pride and Prejudice,0.0,234,10,18,media/epubs/2.epub,media/bookimages/2.jpeg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p style=""margin-bottom: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;""><em style=""margin: 0px; padding: 0px;"">Pride and Prejudice is a novel of manners, a satire of 18th century England and a story of the love between Darcy and Elizabeth Bennet.</em></p><p style=""margin-bottom: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;""><span style=""margin: 0px; padding: 0px;""><b>Summary of the Book</b></span></p><p style=""margin-bottom: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">Elizabeth Bennet is the second of five daughters of an English country gentleman. Unused to social situations and the graces of the gentry, Elizabeth attends a ball where she meets Fitzwilliam Darcy, a man who acts condescending towards her and towards the ball in general. Eventually, chance puts her in Darcy's path several times, and she discovers that Mr. Darcy isn't all that bad after all.</p><p style=""margin-bottom: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;""><span style=""margin: 0px; padding: 0px;"">About Jane Austen</span></p><p style=""margin-bottom: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">Jane Austen was an English writer. She was known for her works:&nbsp;<em style=""margin: 0px; padding: 0px;"">Emma, Sense and Sensibility, Persuasion&nbsp;</em>and&nbsp;<em style=""margin: 0px; padding: 0px;"">Mansfield Park.</em></p>",8,bookActive,,0,0.0,1998-06-01,Jane Austen,None,"Fiction, Literature & Novels",3month,"[4, 5, 6, 7]","[4, 5, 6, 7]","[4, 5, 6, 7]","['Language and Literature', 'Young women -- Fiction', 'Love stories', 'Courtship']"
32,A Christmas Carol in Prose; Being a Ghost Story of Christmas ,0.0,90,12,18,media/epubs/4.epub,media/bookimages/4.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">A Christmas Carol is a novella by English author Charles Dickens. It was first published by Chapman &amp; Hall on 19 December 1843. Carol tells the story of a bitter old miser named Ebenezer Scrooge and his transformation resulting from a supernatural visit by the ghost of his former business partner Jacob Marley and the Ghosts of Christmases Past, Present and Yet to Come. The novella met with instant success and critical acclaim. The book was written and published in early Victorian era Britain, a period when there was strong nostalgia for old Christmas traditions together with the introduction of new customs, such as Christmas trees and greeting cards. Dickens' sources for the tale appear to be many and varied, but are, principally, the humiliating experiences of his childhood, his sympathy for the poor, and various Christmas stories and fairy tales</span><br></p>",8,bookActive,,0,0.0,2004-08-11,Charles Dickens,None,"Fiction, Literature & Novels",3month,"[4, 8]","[4, 8]","[4, 8]","['Language and Literature', 'Christmas stories']"
33,A Tale of Two Cities,0.0,447,12,18,media/epubs/5.epub,media/bookimages/5.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">Novel by Charles Dickens published both serially and in book form in 1859. The story is set in the late 18th century against the background of the French Revolution. Although Dickens borrowed from Thomas Carlyle's history, The French Revolution, for his sprawling tale of London and revolutionary Paris, the novel offers more drama than accuracy. The scenes of large-scale mob violence are especially vivid, if superficial in historical understanding. The complex plot involves Sydney Carton's sacrifice of his own life on behalf of his friends Charles Darnay and Lucie Manette. While political events drive the story, Dickens takes a decidedly antipolitical tone, lambasting both aristocratic tyranny and revolutionary excess--the latter memorably caricatured in Madame Defarge, who knits beside the guillotine. The book is perhaps best known for its opening lines, ""It was the best of times, it was the worst of times,"" and for Carton's last speech, in which he says of his replacing Darnay in a prison cell, ""It is a far, far better thing that I do, than I have ever done; it is a far, far better rest that I go to, than I have ever known."" -- The Merriam-Webster Encyclopedia of Literature</span><br></p>",8,bookActive,,0,0.0,1994-01-01,Charles Dickens,None,"Fiction, Literature & Novels",3month,"[4, 10, 11]","[4, 10, 11]","[4, 10, 11]","['Language and Literature', 'Historical fiction', 'War stories']"
52,Great Expectations,0.0,456,12,18,media/epubs/24.epub,media/bookimages/24.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">One cold Christmas Eve towards nightfall, young orphan Pip, brought up by a bullying older sister and her gentle husband, visits the grave of his dead family in the churchyard. He is “growing afraid of it all and beginning to cry” when the desolation is abruptly broken by the terrifying Magwitch, a convict escaped from the Hulks. Under threat of being eaten alive and having his liver cut out, Pip is terrified into stealing food, drink and a file from home. The next day he witnesses the prisoner’s recapture and, although his own crime is never discovered, his guilt is complete….&nbsp;</span><br style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;""><br style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;""><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">Full of tingling twists, vivid images, violence, and sentimentality, this is one of Dickens’ most popular novels. Spellbinding in its intensity, vivid portrayal of childhood fears and anxieties, rich in humour and sorrow alike, Great Expectations echoes Dickens’ own his childhood memories as it explores a greater theme of knowing oneself.</span><br></p>",6,bookActive,,0,0.0,1998-07-01,Charles Dickens,None,"Fiction, Literature & Novels",3month,"[5, 43, 44, 45]","[5, 43, 44, 45]","[5, 43, 44, 45]","['Young women -- Fiction', 'Man-woman relationships', 'Young men ', 'Revenge']"
78,Hard Times,0.0,320,12,18,media/epubs/50.epub,media/bookimages/50.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<h1 itemprop=""name"" style=""text-align: center; font-size: 20px; margin-top: 1em; margin-bottom: 1em; color: rgb(0, 0, 0); font-family: &quot;Times New Roman&quot;;"">“Facts alone are wanted in life.” The children at Mr. Gradgrind’s school are sternly ordered to stifle their imaginations and pay attention only to cold, hard reality. The effects of Gradgrind’s teaching on his own children, Tom and Louisa, are particularly profound and leave them ill-equipped to deal with the unpredictable desires of the human heart. Luckily for them, they have a friend in Sissy Jupe, the child of a circus clown, who retains her warm-hearted, compassionate nature despite the pressures around her.<br style=""-webkit-font-smoothing: antialiased; text-shadow: none; text-rendering: optimizelegibility; color: rgb(51, 51, 51); font-family: Fort-Book, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 16px; text-align: start;""><br style=""-webkit-font-smoothing: antialiased; text-shadow: none; text-rendering: optimizelegibility; color: rgb(51, 51, 51); font-family: Fort-Book, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 16px; text-align: start;""><span style=""color: rgb(51, 51, 51); font-family: Fort-Book, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 16px; text-align: start;"">By 1854, when&nbsp;</span><i style=""-webkit-font-smoothing: antialiased; text-shadow: none; text-rendering: optimizelegibility; color: rgb(51, 51, 51); font-family: Fort-Book, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 16px; text-align: start;"">Hard Times</i><span style=""color: rgb(51, 51, 51); font-family: Fort-Book, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 16px; text-align: start;"">&nbsp;was published, Charles Dickens’ magisterial progress as a writer had come to incorporate a many-sided, coherent vision of English society, both as it was and as he wished it to be.&nbsp;</span><i style=""-webkit-font-smoothing: antialiased; text-shadow: none; text-rendering: optimizelegibility; color: rgb(51, 51, 51); font-family: Fort-Book, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 16px; text-align: start;"">Hard Times</i><span style=""color: rgb(51, 51, 51); font-family: Fort-Book, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 16px; text-align: start;"">, a classic Dickensian story of redemption set in a North of England town beset by industrialism, everywhere benefits from this vision – in the trenchancy of its satire, in its sweeping indignation at social injustice, and in the persistent humanity with which its author enlivens his largest and smallest incidents.</span><br></h1>",7,bookActive,,0,0.0,1997-01-01,Charles Dickens,None,"Fiction, Literature & Novels",3month,"[26, 57]","[26, 57]","[26, 57]","['Political', 'Social life']"
95,Oliver Twist ,0.0,237,12,18,media/epubs/67.epub,media/bookimages/67.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">Oliver Twist's life starts with misfortune. Orphaned at birth by the death of his mother, he is cared for under the terms of Mrs. Mann at a baby farm for the first nine years of his life. Then he begins working by picking and weaving oakum at the main workhouse by the parish beadle, Mr. Bumble. After the other children convince him, Oliver asks for more food, leading to utter chaos in the workhouse. The board in charge of the workhouse decide to put him up for apprenticeship, offering five pounds as a reward for any man who can take him. Thus Oliver finds himself the apprentice of an undertaker. Although his master is kind, the master’s wife begins to mistreat Oliver, forcing him to run away. He journeys to London and thus runs into some of the most colorful characters every created in fiction: the Artful Dodger and Fagin, a notorious Jewish criminal who decides that Oliver would make a wonderful part of his band of pickpockets.</span><br></p>",7,bookActive,,0,0.0,1996-11-01,Charles Dickens,None,"Fiction, Literature & Novels",3month,"[44, 71]","[44, 71]","[44, 71]","['Young men ', 'Crime']"
34,Frankenstein Or The Modern Prometheus,0.0,178,13,18,media/epubs/6.epub,media/bookimages/6.jpeg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">The epic battle between man and monster reaches its greatest pitch in the famous story of&nbsp;</span><b style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">Frankenstein</b><span style=""color: rgb(51, 51, 51); font-family: Arial, sans-serif;"">. In trying to create life, the young student Victor Frankenstein unleashes forces beyond his control, setting into motion a long and tragic chain of events that brings Victor himself to the very brink. How he tries to destroy his creation, as it destroys everything Victor loves, is a powerful story of love, friendship …and horror.</span><br></p>",7,bookActive,,0,0.0,1993-10-01,Mary Wollstonecraft Shelley,None,"Fiction, Literature & Novels",3month,"[4, 12, 13]","[4, 12, 13]","[4, 12, 13]","['Language and Literature', 'Science fiction', 'Horror tales']"
35,"Moby Dick; Or, The Whale ",0.0,635,14,18,media/epubs/7.epub,media/bookimages/7.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><i style=""color: rgb(24, 24, 24); font-family: Merriweather, Georgia, serif;"">""It is the horrible texture of a fabric that should be woven of ships' cables and hawsers. A Polar wind blows through it, and birds of prey hover over it.""</i><span style=""color: rgb(24, 24, 24); font-family: Merriweather, Georgia, serif;"">&nbsp;</span><br style=""color: rgb(24, 24, 24); font-family: Merriweather, Georgia, serif;""><br style=""color: rgb(24, 24, 24); font-family: Merriweather, Georgia, serif;""><span style=""color: rgb(24, 24, 24); font-family: Merriweather, Georgia, serif;"">So Melville wrote of his masterpiece, one of the greatest works of imagination in literary history. In part,&nbsp;</span><i style=""color: rgb(24, 24, 24); font-family: Merriweather, Georgia, serif;"">Moby-Dick</i><span style=""color: rgb(24, 24, 24); font-family: Merriweather, Georgia, serif;"">&nbsp;is the story of an eerily compelling madman pursuing an unholy war against a creature as vast and dangerous and unknowable as the sea itself. But more than just a novel of adventure, more than an encyclopedia of whaling lore and legend, the book can be seen as part of its author's lifelong meditation on America. Written with wonderfully redemptive humor,&nbsp;</span><i style=""color: rgb(24, 24, 24); font-family: Merriweather, Georgia, serif;"">Moby-Dick</i><span style=""color: rgb(24, 24, 24); font-family: Merriweather, Georgia, serif;"">&nbsp;is also a profound inquiry into character, faith, and the nature of perception.</span><br></p>",7,bookActive,,0,0.0,2001-07-01,Herman Melville,None,"Fiction, Literature & Novels",3month,"[4, 14, 15, 16]","[4, 14, 15, 16]","[4, 14, 15, 16]","['Language and Literature', 'Sea stories', 'Psychological fiction', 'Adventure stories']"
36,Alice's Adventures in Wonderland,0.0,69,15,18,media/epubs/8.epub,media/bookimages/8.jpg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<h4 class=""slot-header"" style=""-webkit-font-smoothing: antialiased; text-shadow: none; text-rendering: optimizelegibility; font-family: Fort-Bold; color: rgb(51, 51, 51); margin: 1em 0em; font-size: 16px; text-transform: uppercase;"">ABOUT&nbsp;<span style=""-webkit-font-smoothing: antialiased; text-shadow: none; text-rendering: optimizelegibility; font-style: italic;"">ALICE’S ADVENTURES IN WONDERLAND</span></h4><p style=""-webkit-font-smoothing: antialiased; text-shadow: none; text-rendering: optimizelegibility; margin-bottom: 11px; color: rgb(51, 51, 51); font-family: Fort-Book, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 16px;""><b style=""-webkit-font-smoothing: antialiased; text-shadow: none; text-rendering: optimizelegibility;"">They’re Puffin Classics for a reason, it’s because they’re the best.<br style=""-webkit-font-smoothing: antialiased; text-shadow: none; text-rendering: optimizelegibility;""></b><br style=""-webkit-font-smoothing: antialiased; text-shadow: none; text-rendering: optimizelegibility;""><b style=""-webkit-font-smoothing: antialiased; text-shadow: none; text-rendering: optimizelegibility;"">Follow Alice down the rabbit hole in this topsy-turvy adventure!</b><br style=""-webkit-font-smoothing: antialiased; text-shadow: none; text-rendering: optimizelegibility;""><br style=""-webkit-font-smoothing: antialiased; text-shadow: none; text-rendering: optimizelegibility;"">On an ordinary summer’s afternoon, Alice tumbles down a hole and an extraordinary adventure begins. In a strange world with even stranger characters, she meets a rabbit with a pocket watch, joins a Mad Hatter’s Tea Party, and plays croquet with the Queen! Lost in this fantasy land, Alice finds herself growing more and more curious by the minute . . .</p>",7,bookActive,,0,0.0,2008-06-27,Lewis Carroll,None,"Fiction, Literature & Novels",3month,"[4, 17, 18]","[4, 17, 18]","[4, 17, 18]","['Language and Literature', ""Children's stories"", 'Fantasy fiction']"
37,Dracula,0.0,368,16,18,media/epubs/9.epub,media/bookimages/9.jpeg,10,"3 days,7 days,14 days,21 days,1 month,1.5 months,2 months,3 months",English,"<p><br></p><p style=""margin-bottom: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;""><em style=""margin: 0px; padding: 0px;"">A vampire leaves his castle home in Transylvania to prey on an unsuspecting family as he seeks a mate. Bram Stoker’s Dracula is the original vampire story.</em></p><p style=""margin-bottom: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;""><span style=""margin: 0px; padding: 0px;"">Summary of the Book</span></p><p style=""margin-bottom: 0px; padding: 0px; color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif;"">Jonathan Harker knew that the rumors about Count Dracula were false. They made no sense, how could the villagers think he was behind the strange disappearances in the region. He didn’t care for their opinion, after all, he was here merely to carry out the business of his company. However, the Count seemed interested in more than just real estate. He was a gracious host, but he had rules. He didn’t want Jonathan to roam the castle at night, for one. But Jonathan Harker couldn’t resist. What could hurt about exploring? There are no such things as vampires, surely?</p>",7,bookActive,,0,0.0,1996-10-01,Bram Stoker,None,"Fiction, Literature & Novels",3month,"[13, 9, 19, 20]","[13, 9, 19, 20]","[13, 9, 19, 20]","['Horror tales', 'Ghost stories', 'Vampires ', 'Dracula']"
